"sample_id","ph","soil_c","soil_n","soil_c_n_ratio","soil_p","clay_silt","latitude","longitude"
"239",8.268,1.532,0.112,13.621,210.039,22.379,37.113448,-112.552224
"240",8.686,0.929,0.09,10.344,230.138,18.867,38.173514,-109.710268
"241",7.982,1.54,0.169,9.094,463.455,43.799,37.581928,-109.910049
"242",7.684,0.29,0.062,4.666,76.397,1.4,37.086092,-111.696845
"243",8.09,1.059,0.067,15.826,334.4,16.979,37.507278,-112.02167
"244",7.638,2.424,0.2,12.093,263.243,32.262,37.730413,-109.413583
"245",8.672,0.412,0.052,7.965,201.073,11.791,38.003108,-110.516686
"246",8.306,0.233,0.02,11.782,147.2,9.933,36.685466,-111.856829
"247",8.176,0.736,0.085,8.62,591.413,22.845,33.754262,-115.79572
"248",8.656,0.313,0.078,4.012,441.578,9.933,33.750666,-115.811803
"249",6.994,3.945,0.448,8.809,1074.655,59.628,9.666497,-69.946911
"250",6.74,3.196,0.202,15.816,318.338,30,-33.844892,147.388211
"251",8.47,4.163,0.442,9.415,600.575,35,-34.357823,146.208538
"252",8.93,4.932,0.123,39.975,272.359,44,-34.415466,146.308989
"253",6.44,2.418,0.106,22.841,218.363,41,-34.2837222222222,146.576361111111
"254",8.66,1.737,0.633,2.745,504.515,34,-34.346187,146.919987
"255",7.07,9.657,0.243,39.791,209.738,30,-34.435437,147.422757
"256",5.52,4.865,0.254,19.175,175.641,32,-34.743692,149.88757
"257",5.465,3.456,0.24,14.419,227.958,35,-33.654888,150.862162
"258",5.63,8.447,0.269,31.351,576.724,39,-33.621635,150.771211
"259",5.12,3.873,0.184,21.049,186.683,33,-34.362568,148.919106
"260",6.18,2.449,0.134,18.271,118.874,34,-33.981005,148.947758
"261",7.24,7.316,0.421,17.378,454.321,39,-33.833655,148.609224
"262",8.1,9.079,0.454,20.016,385.054,38,-33.505705,148.172742
"263",7.35,4.745,0.331,14.314,282.991,37,-33.729918,148.203347
"264",8.48,8.818,0.474,18.596,446.994,33,-33.324038,148.164342
"265",5.93,2.882,0.091,31.807,86.081,29,-34.506477,150.238876
"266",6.36,3.029,0.277,10.947,394.7,37,-34,145.726367
"267",8.9,2.531,0.222,11.4,263.626,32,-34.254023,146.071294
"268",6,5.472,0.478,11.439,390.072,39,-33.909637,150.99395
"269",4.83,12.321,0.616,20.014,150.402,33,-33.982,151.057451
"270",7.334,1.08,0.044,24.8,189.728,33,-34.127508,142.0837778
"271",9,1.547,0.085,18.201,143.822,32,-34.158906,142.20495
"272",4.78,20.425,1.572,12.994,576.097942,50,-54.9349999999999,-67.6355555555555
"273",5.38,17.135,0.895,19.154,726.9112025,58,-54.9541666666666,-67.6352777777777
"274",4.17,6.008,0.352,17.081,584.4627884,60,-54.9588888888888,-67.6325
"275",4.75,0.82,0.112,7.293,666.6351033,59,-54.9718611111111,-67.6327777777777
