Feature_ID,Domain,Phylum,Class,Order,Family,Genus,Species,Confidence
MJ030-2-barcode65-umi80841bins-ubs-6,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Limisphaerales,Pedosphaeraceae,Pedosphaera,Pedosphaera sp000172555,1.0
MJ030-2-barcode65-umi81051bins-ubs-7,Bacteria,Chloroflexota,Dehalococcoidia,Unassigned,Unassigned,Unassigned,Unassigned,1.0
MJ030-2-barcode65-umi81077bins-ubs-6,Bacteria,Acidobacteriota,Terriglobia,Bryobacterales,Bryobacteraceae,Palsa-187,Palsa-187 sp902826605,1.0
MJ030-2-barcode65-umi83450bins-ubs-6,Bacteria,Elusimicrobiota,Elusimicrobia_984208,Unassigned,Unassigned,Unassigned,Unassigned,1.0
MJ030-2-barcode65-umi83662bins-ubs-7,Bacteria,Bacillota_I,Bacilli_A,Bacillales_B_306087,DSM-1321,Peribacillus_A_301373,Peribacillus_A_301373 asahii,1.0
MJ030-2-barcode65-umi83683bins-ubs-7,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,Gp1-AA117,Angelobacter,Angelobacter sp003223515,1.0
MJ030-2-barcode65-umi836bins-ubs-150,Bacteria,Acidobacteriota,Blastocatellia,Pyrinomonadales,Pyrinomonadaceae,OLB17_426821,OLB17 sp001567505,1.0
MJ030-2-barcode65-umi83785bins-ubs-11,Bacteria,Bdellovibrionota_473306,UBA1018,UBA1018,UBA1018,GWA1-52-35,GWA1-52-35 sp001769805,1.0
MJ030-2-barcode65-umi85186bins-ubs-6,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Limisphaerales,Unassigned,Unassigned,Unassigned,1.0
MJ030-2-barcode65-umi851bins-ubs-146,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,UBA10212,UBA10212,Unassigned,1.0
MJ030-2-barcode65-umi85216bins-ubs-5,Bacteria,Acidobacteriota,Terriglobia,Bryobacterales,Bryobacteraceae,Unassigned,Unassigned,1.0
MJ030-2-barcode65-umi85419bins-ubs-5,Bacteria,Acidobacteriota,Terriglobia,Bryobacterales,Bryobacteraceae,KBS-96,KBS-96 sp000381625,1.0
MJ030-2-barcode65-umi85452bins-ubs-5,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,SbA1,Unassigned,Unassigned,1.0
MJ030-2-barcode65-umi8554bins-ubs-49,Bacteria,Acidobacteriota,Terriglobia,Bryobacterales,Bryobacteraceae,Unassigned,Unassigned,1.0
MJ030-2-barcode65-umi855bins-ubs-155,Bacteria,Bdellovibrionota_473306,FAC87,UBA2466,UBA2466,UBA2466,UBA2466 sp900299195,1.0
MJ030-2-barcode65-umi85696bins-ubs-5,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,SbA1,Gp1-AA122,Unassigned,1.0
MJ030-2-barcode65-umi86312bins-ubs-5,Bacteria,Acidobacteriota,Terriglobia,Bryobacterales,Bryobacteraceae,Unassigned,Unassigned,1.0
MJ030-2-barcode65-umi86325bins-ubs-6,Bacteria,Planctomycetota,Phycisphaerae,Tepidisphaerales,Tepidisphaeraceae,UBA2421,Unassigned,1.0
MJ030-2-barcode65-umi86725bins-ubs-5,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,Gp1-AA117,Angelobacter,Angelobacter sp003223515,1.0
MJ030-2-barcode65-umi87066bins-ubs-5,Bacteria,Acidobacteriota,Terriglobia,Bryobacterales,Bryobacteraceae,KBS-96,KBS-96 sp000381625,1.0
MJ030-2-barcode65-umi87092bins-ubs-5,Bacteria,Bdellovibrionota_473306,Oligoflexia,Oligoflexales,Bin106,Bin106,Bin106 sp002238945,1.0
MJ030-2-barcode65-umi87126bins-ubs-5,Bacteria,Acidobacteriota,Terriglobia,Bryobacterales,Bryobacteraceae,Unassigned,Unassigned,1.0
MJ030-2-barcode65-umi87257bins-ubs-6,Bacteria,Acidobacteriota,Terriglobia,Bryobacterales,Bryobacteraceae,Unassigned,Unassigned,1.0
MJ030-2-barcode65-umi872bins-ubs-148,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Flavisolibacter_B,Unassigned,1.0
MJ030-2-barcode65-umi87337bins-ubs-6,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,SG8-41,UBA5216,UBA5216 sp902825845,1.0
MJ030-2-barcode65-umi873bins-ubs-147,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Segetibacter,Segetibacter koreensis,1.0
MJ030-2-barcode65-umi87664bins-ubs-5,Bacteria,Acidobacteriota,Terriglobia,Bryobacterales,Bryobacteraceae,Unassigned,Unassigned,1.0
MJ030-2-barcode65-umi877bins-ubs-147,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Flavisolibacter_B,Flavisolibacter_B nicotianae,1.0
MJ030-2-barcode65-umi883bins-ubs-140,Bacteria,Bacteroidota,Bacteroidia,AKYH767-A,2013-40CM-41-45,QQVM01,QQVM01 sp004295015,1.0
