"k","fold","lambda1","lambda2","canonical_direction","cor.train","cor.test"
15,1,0.000316227766016838,0,4,0.999999999960456,0.818401756329906
15,1,0.000316227766016838,0,5,0.999999999988514,0.653276990543269
15,2,0.000316227766016838,0,1,0.999999999887231,0.913897883793678
15,2,0.000316227766016838,0,2,0.999999999987817,0.379255536877593
15,2,0.000316227766016838,0,3,0.992959310907486,0.855470784777805
15,2,0.000316227766016838,0,4,0.999999999976635,0.436404133008184
15,2,0.000316227766016838,0,5,0.999999999987102,0.566505413857709
15,3,0.000316227766016838,0,1,0.999999999991265,0.932696031963961
15,3,0.000316227766016838,0,2,0.999999999990946,0.708837981629664
15,3,0.000316227766016838,0,3,0.999999999985414,0.202187793136982
15,3,0.000316227766016838,0,4,0.999999999989074,0.328631687934941
15,3,0.000316227766016838,0,5,0.999999999989518,0.705060750971236
15,4,0.000316227766016838,0,1,0.99999999991147,0.88194923002201
15,4,0.000316227766016838,0,2,0.99999999999047,0.687588650308748
15,4,0.000316227766016838,0,3,0.993079704351817,0.665660911300908
15,4,0.000316227766016838,0,4,0.999999999969033,0.799841378436874
15,4,0.000316227766016838,0,5,0.99999999998663,0.694470799734934
15,5,0.000316227766016838,0,1,0.999999999894328,0.659349902979891
15,5,0.000316227766016838,0,2,0.999999999990964,0.52673707373614
15,5,0.000316227766016838,0,3,0.993183389046179,0.318382998161431
15,5,0.000316227766016838,0,4,0.999999999971423,0.450282673782219
15,5,0.000316227766016838,0,5,0.999999999990041,-0.00861020817593718
15,6,0.000316227766016838,0,1,0.999999999939277,0.402447454798502
15,6,0.000316227766016838,0,2,0.999999999989925,0.851587128913756
15,6,0.000316227766016838,0,3,0.99244365416676,0.64105431059608
15,6,0.000316227766016838,0,4,0.99999999997925,0.596980379588931
15,6,0.000316227766016838,0,5,0.999999999988537,0.288889507713978
15,7,0.000316227766016838,0,1,0.999999999912971,0.898276697986431
15,7,0.000316227766016838,0,2,0.999999999990297,0.771258978867471
15,7,0.000316227766016838,0,3,0.992648672191008,0.85671040116189
15,7,0.000316227766016838,0,4,0.999999999968782,0.696545602168816
15,7,0.000316227766016838,0,5,0.999999999987131,0.797584675200633
15,8,0.000316227766016838,0,1,0.999999999894451,0.948708484970155
15,8,0.000316227766016838,0,2,0.999999999989039,0.691692393539731
15,8,0.000316227766016838,0,3,0.993171874092296,0.713994922194175
15,8,0.000316227766016838,0,4,0.999999999964054,0.82706951606825
15,8,0.000316227766016838,0,5,0.999999999988459,0.596055537488876
15,9,0.000316227766016838,0,1,0.999999999893232,0.843980904000914
15,9,0.000316227766016838,0,2,0.999999999990428,0.648775489725588
15,9,0.000316227766016838,0,3,0.993213794922945,0.681513145600715
15,9,0.000316227766016838,0,4,0.99999999997,0.671787606325445
15,9,0.000316227766016838,0,5,0.999999999988924,0.862962649081171
15,10,0.000316227766016838,0,1,0.99999999990478,0.817725291723812
15,10,0.000316227766016838,0,2,0.999999999988851,0.726512990760043
15,10,0.000316227766016838,0,3,0.993009341258081,0.710443842894274
15,10,0.000316227766016838,0,4,0.999999999963821,0.714109966229659
15,10,0.000316227766016838,0,5,0.999999999987932,0.504394862884211
15,11,0.000316227766016838,0,1,0.999999999901173,0.797575647632953
15,11,0.000316227766016838,0,2,0.999999999990479,0.810046899898957
15,11,0.000316227766016838,0,3,0.993162742715463,0.679037322780859
15,11,0.000316227766016838,0,4,0.999999999971856,-0.0792848220165627
15,11,0.000316227766016838,0,5,0.999999999986539,0.715577762750284
15,12,0.000316227766016838,0,1,0.999999999894455,0.881767995582239
