Feature_ID,Domain,Phylum,Class,Order,Family,Genus,Species,Confidence
MJ030-1-barcode35-umi34773bins-ubs-14,Bacteria,Desulfobacterota_G_459546,Desulfuromonadia,Desulfuromonadales,Geopsychrobacteraceae,Geopsychrobacter,Geopsychrobacter electrodiphilus,1.0
MJ030-1-barcode35-umi35092bins-ubs-15,Bacteria,Verrucomicrobiota,Kiritimatiellia,UBA8416,YA12-FULL-60-10,YA12-FULL-60-10,Unassigned,1.0
MJ030-1-barcode35-umi35141bins-ubs-15,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Octadecabacter_491302,Octadecabacter temperatus,1.0
MJ030-1-barcode35-umi36379bins-ubs-17,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales_A_650612,Pseudohongiellaceae,UBA9145,UBA9145 sp002402175,1.0
MJ030-1-barcode35-umi37155bins-ubs-14,Bacteria,Fibrobacterota,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,Unassigned,Unassigned,1.0
MJ030-1-barcode35-umi37421bins-ubs-13,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales_B_877923,Crocinitomicaceae,UBA4466,UBA4466 sp002734065,1.0
MJ030-1-barcode35-umi38210bins-ubs-13,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales_B_877923,Flavobacteriaceae,Gilvibacter,Unassigned,1.0
MJ030-1-barcode35-umi38389bins-ubs-13,Bacteria,Pseudomonadota,Gammaproteobacteria,GCA-2729495,GCA-2729495,GCA-2729495,Unassigned,1.0
MJ030-1-barcode35-umi3946bins-ubs-70,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales_A_641035,Natronospirillaceae,Reinekea,Reinekea forsetii,1.0
MJ030-1-barcode35-umi4009bins-ubs-69,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales_737866,Shewanellaceae,Ferrimonas,Ferrimonas balearica,1.0
MJ030-1-barcode35-umi40272bins-ubs-12,Bacteria,Spirochaetota,Spirochaetia,Spirochaetales_E,DSM-19205,Thiospirochaeta,Spirochaeta_E psychrophila,1.0
MJ030-1-barcode35-umi40310bins-ubs-13,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Unassigned,Unassigned,1.0
MJ030-1-barcode35-umi4046bins-ubs-70,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales_B_877923,Flavobacteriaceae,Unassigned,Unassigned,1.0
MJ030-1-barcode35-umi40740bins-ubs-12,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Octadecabacter_491302,Octadecabacter temperatus,1.0
MJ030-1-barcode35-umi4074bins-ubs-81,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales_B_877923,Flavobacteriaceae,Urechidicola,Urechidicola croceus,1.0
MJ030-1-barcode35-umi41812bins-ubs-12,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales_505101,Rhizobiaceae,Unassigned,Unassigned,1.0
MJ030-1-barcode35-umi4185bins-ubs-72,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales_B_877923,Flavobacteriaceae,Unassigned,Unassigned,1.0
MJ030-1-barcode35-umi41952bins-ubs-12,Bacteria,Myxococcota_A_473307,UBA9160,UBA9160,UBA4427,UBA4427,UBA4427 sp011051925,1.0
MJ030-1-barcode35-umi42050bins-ubs-12,Bacteria,Pseudomonadota,Gammaproteobacteria,Coxiellales,Coxiellaceae,Unassigned,Unassigned,1.0
MJ030-1-barcode35-umi42275bins-ubs-12,Bacteria,Desulfobacterota_B,Binatia,UBA1149,UBA1149,UBA1149,Unassigned,1.0
MJ030-1-barcode35-umi4285bins-ubs-69,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales_737866,Alteromonadaceae,Paraglaciecola,Unassigned,1.0
